Date,Pays,Infections,Deces,Guerisons,TauxDeces,TauxGuerison,TauxInfection
2021-01-24,Singapour,59308,29,59041,0.05,99.55,0.40
2021-01-24,Slovénie,157830,3360,135993,2.13,86.16,11.71
2021-01-24,Slovaquie,236476,4068,189959,1.72,80.33,17.95
2021-01-24,Sierra Leone,3139,77,2210,2.45,70.40,27.14
2021-01-24,Saint-Marin,2874,65,2615,2.26,90.99,6.75
2021-01-24,Sénégal,24727,575,20476,2.33,82.81,14.87
2021-01-24,Somalie,4754,130,3666,2.73,77.11,20.15
2021-01-24,Suriname,8057,149,7246,1.85,89.93,8.22
2021-01-24,Soudan du sud,3788,64,3542,1.69,93.51,4.80
2021-01-24,Sao Tomé-et-Principe,1188,17,997,1.43,83.92,14.65
2021-01-24,El Salvador,53218,1561,46845,2.93,88.02,9.04
2021-01-24,Syrie,13628,885,7056,6.49,51.78,41.73
2021-01-24,Eswatini,14484,479,9242,3.31,63.81,32.88
2021-01-24,Tchad,3161,116,2255,3.67,71.34,24.99
2021-01-24,Togo,4662,75,3997,1.61,85.74,12.66
2021-01-24,Thaïlande,13500,73,10567,0.54,78.27,21.19
2021-01-24,Tadjikistan,13308,90,13218,0.68,99.32,0.00
2021-01-24,Timor-Leste,67,0,50,0.00,74.63,25.37
2021-01-24,Tunisie,197373,6234,144657,3.16,73.29,23.55
2021-01-24,Turquie,2429605,25073,2307721,1.03,94.98,3.98
2021-01-24,Trinité-et-Tobago,7473,134,7015,1.79,93.87,4.34
2021-01-24,Taïwan,889,7,787,0.79,88.53,10.69
2021-01-24,Tanzanie,509,21,183,4.13,35.95,59.92
2021-01-24,Ukraine,1231965,22926,980769,1.86,79.61,18.53
2021-01-24,Ouganda,39149,317,13861,0.81,35.41,63.78
2021-01-24,États-Unis,25145947,419214,0,1.67,0.00,98.33
2021-01-24,Uruguay,37633,376,29270,1.00,77.78,21.22
2021-01-24,Ouzbékistan,78375,621,76815,0.79,98.01,1.20
2021-01-24,Vatican,27,0,15,0.00,55.56,44.44
2021-01-24,St-Vincent / Grenadines,738,2,134,0.27,18.16,81.57
2021-01-24,Venezuela,123709,1148,115426,0.93,93.30,5.77
2021-01-24,Viet Nam,1548,35,1411,2.26,91.15,6.59
2021-01-24,Vanuatu,1,0,1,0.00,100.00,0.00
2021-01-24,Samoa,2,0,2,0.00,100.00,0.00
2021-01-24,Kosovo,57317,1447,50489,2.52,88.09,9.39
2021-01-24,Yémen,2118,615,1423,29.04,67.19,3.78
2021-01-24,Mayotte,7544,59,2964,0.78,39.29,59.93
2021-01-24,Afrique du Sud,1412986,40874,1230520,2.89,87.09,10.02
2021-01-24,Zambie,45337,639,35960,1.41,79.32,19.27
2021-01-24,Zimbabwe,31320,1005,22250,3.21,71.04,25.75
2021-01-24,Autres,721,15,706,2.08,97.92,0.00
2021-01-23,Autres,721,15,706,2.08,97.92,0.00
2021-01-23,Zimbabwe,31007,974,21377,3.14,68.94,27.92
2021-01-23,Zambie,44592,627,34293,1.41,76.90,21.69
2021-01-23,Afrique du Sud,1404839,40574,1217492,2.89,86.66,10.45
2021-01-23,Mayotte,7250,58,2964,0.80,40.88,58.32
2021-01-23,Yémen,2118,615,1423,29.04,67.19,3.78
2021-01-23,Kosovo,57317,1447,50489,2.52,88.09,9.39
2021-01-23,Samoa,2,0,2,0.00,100.00,0.00
2021-01-23,Vanuatu,1,0,1,0.00,100.00,0.00
2021-01-23,Viet Nam,1548,35,1411,2.26,91.15,6.59
2021-01-23,Venezuela,123245,1142,115426,0.93,93.66,5.42
2021-01-23,St-Vincent / Grenadines,720,2,134,0.28,18.61,81.11
2021-01-23,Vatican,27,0,15,0.00,55.56,44.44
2021-01-23,Ouzbékistan,78317,621,76778,0.79,98.03,1.17
2021-01-23,Uruguay,36967,367,28547,0.99,77.22,21.78
2021-01-23,États-Unis,25014756,417439,0,1.67,0.00,98.33
2021-01-23,Ouganda,39044,317,13861,0.81,35.50,63.69
2021-01-23,Ukraine,1227723,22830,975186,1.86,79.43,18.71
2021-01-23,Tanzanie,509,21,183,4.13,35.95,59.92
2021-01-23,Taïwan,884,7,783,0.79,88.57,10.63
2021-01-23,Trinité-et-Tobago,7462,134,7002,1.80,93.84,4.37
2021-01-23,Turquie,2424328,24933,2301861,1.03,94.95,4.02
2021-01-23,Tunisie,195314,6154,141862,3.15,72.63,24.22
2021-01-23,Timor-Leste,64,0,49,0.00,76.56,23.44
2021-01-23,Tadjikistan,13308,90,13218,0.68,99.32,0.00
2021-01-23,Thaïlande,13302,72,10448,0.54,78.54,20.91
2021-01-23,Togo,4636,74,3976,1.60,85.76,12.64
2021-01-23,Tchad,3137,115,2240,3.67,71.41,24.93
2021-01-23,Eswatini,14330,458,9102,3.20,63.52,33.29
2021-01-23,Syrie,13557,879,6989,6.48,51.55,41.96
2021-01-23,El Salvador,52672,1551,46370,2.94,88.04,9.02
2021-01-23,Sao Tomé-et-Principe,1188,17,997,1.43,83.92,14.65
2021-01-23,Soudan du sud,3788,64,3542,1.69,93.51,4.80
2021-01-23,Suriname,8000,148,7139,1.85,89.24,8.91
2021-01-23,Somalie,4754,130,3666,2.73,77.11,20.15
2021-01-23,Sénégal,24459,569,20284,2.33,82.93,14.74
2021-01-23,Saint-Marin,2874,65,2615,2.26,90.99,6.75
2021-01-23,Sierra Leone,3120,77,2187,2.47,70.10,27.44
2021-01-23,Slovénie,157293,3329,135262,2.12,85.99,11.89
2021-01-23,Slovaquie,234571,3965,186683,1.69,79.58,18.72
2021-01-23,Singapour,59260,29,59015,0.05,99.59,0.36
2021-01-23,Suède,547166,11005,0,2.01,0.00,97.99
2021-01-23,Soudan,26279,1603,15688,6.10,59.70,34.20
2021-01-23,Seychelles,1033,3,681,0.29,65.92,33.79
2021-01-23,Îles Salomon,17,0,10,0.00,58.82,41.18
2021-01-23,Arabie Saoudite,366185,6350,357728,1.73,97.69,0.58
2021-01-23,Rwanda,12647,172,8319,1.36,65.78,32.86
2021-01-23,Russie,3658447,67919,3076236,1.86,84.09,14.06
2021-01-23,Serbie,382285,3868,0,1.01,0.00,98.99
2021-01-23,Roumanie,709194,17722,650189,2.50,91.68,5.82
2021-01-23,Réunion,9701,45,9261,0.46,95.46,4.07
2021-01-23,Qatar,148772,248,144740,0.17,97.29,2.54
2021-01-23,Paraguay,127081,2607,102344,2.05,80.53,17.41
2021-01-23,Portugal,624469,10194,451324,1.63,72.27,26.09
2021-01-23,Palestine,155006,1783,144297,1.15,93.09,5.76
2021-01-23,Pologne,1470879,35253,1222782,2.40,83.13,14.47
2021-01-23,Pakistan,532412,11295,486489,2.12,91.37,6.50
2021-01-23,Philippines,511679,10190,467886,1.99,91.44,6.57
2021-01-23,Papouasie-Nouvelle-Guinée,835,9,790,1.08,94.61,4.31
