Date,Pays,Infections,Deces,Guerisons,TauxDeces,TauxGuerison,TauxInfection
2021-01-19,États-Unis,24279011,401772,0,1.65,0.00,98.35
2021-01-19,Ouganda,38534,305,13405,0.79,34.79,64.42
2021-01-19,Ukraine,1206125,22037,917824,1.83,76.10,22.08
2021-01-19,Tanzanie,509,21,183,4.13,35.95,59.92
2021-01-19,Taïwan,868,7,766,0.81,88.25,10.94
2021-01-19,Trinité-et-Tobago,7415,132,6945,1.78,93.66,4.56
2021-01-19,Turquie,2399781,24328,2277987,1.01,94.92,4.06
2021-01-19,Tunisie,184483,5844,132983,3.17,72.08,24.75
2021-01-19,Timor-Leste,52,0,49,0.00,94.23,5.77
2021-01-19,Tadjikistan,13308,90,13218,0.68,99.32,0.00
2021-01-19,Thaïlande,12653,71,9621,0.56,76.04,23.40
2021-01-19,Togo,4383,74,3839,1.69,87.59,10.72
2021-01-19,Tchad,2977,114,2170,3.83,72.89,23.28
2021-01-19,Eswatini,13443,403,8512,3.00,63.32,33.68
2021-01-19,Syrie,13224,850,6696,6.43,50.64,42.94
2021-01-19,El Salvador,51437,1509,45223,2.93,87.92,9.15
2021-01-19,Sao Tomé-et-Principe,1151,17,995,1.48,86.45,12.08
2021-01-19,Soudan du sud,3762,64,3505,1.70,93.17,5.13
2021-01-19,Suriname,7709,146,6910,1.89,89.64,8.47
2021-01-19,Somalie,4744,130,3666,2.74,77.28,19.98
2021-01-19,Sénégal,23392,536,19531,2.29,83.49,14.21
2021-01-19,Saint-Marin,2803,65,2530,2.32,90.26,7.42
2021-01-19,Sierra Leone,3030,77,2109,2.54,69.60,27.85
2021-01-19,Slovénie,151137,3231,125315,2.14,82.91,14.95
2021-01-19,Slovaquie,226294,3637,173761,1.61,76.79,21.61
2021-01-19,Singapour,59157,29,58894,0.05,99.56,0.40
2021-01-19,Suède,533265,10591,0,1.99,0.00,98.01
2021-01-19,Soudan,26279,1603,15688,6.10,59.70,34.20
2021-01-19,Seychelles,746,2,563,0.27,75.47,24.26
2021-01-19,Îles Salomon,17,0,10,0.00,58.82,41.18
2021-01-19,Arabie Saoudite,365325,6335,357004,1.73,97.72,0.54
2021-01-19,Rwanda,11548,148,7580,1.28,65.64,33.08
2021-01-19,Russie,3574330,65632,2970450,1.84,83.11,15.06
2021-01-19,Serbie,375799,3791,0,1.01,0.00,98.99
2021-01-19,Roumanie,697898,17369,630236,2.49,90.30,7.21
2021-01-19,Réunion,9552,45,9053,0.47,94.78,4.75
2021-01-19,Qatar,147729,248,144218,0.17,97.62,2.21
2021-01-19,Paraguay,123359,2535,99303,2.05,80.50,17.45
2021-01-19,Portugal,566958,9246,421871,1.63,74.41,23.96
2021-01-19,Palestine,153093,1741,140914,1.14,92.04,6.82
2021-01-19,Pologne,1443804,33698,1197034,2.33,82.91,14.76
2021-01-19,Pakistan,524783,11103,478517,2.12,91.18,6.70
2021-01-19,Philippines,504084,9978,466249,1.98,92.49,5.53
2021-01-19,Papouasie-Nouvelle-Guinée,834,9,755,1.08,90.53,8.39
2021-01-19,Polynésie Française,17697,127,4842,0.72,27.36,71.92
2021-01-19,Pérou,1060567,38770,984726,3.66,92.85,3.50
2021-01-19,Panama,301534,4864,243157,1.61,80.64,17.75
2021-01-19,Oman,132146,1516,124398,1.15,94.14,4.72
2021-01-19,Nouvelle-Zélande,2267,25,2166,1.10,95.54,3.35
2021-01-19,Népal,267992,1969,262259,0.73,97.86,1.40
2021-01-19,Norvège,59456,525,17998,0.88,30.27,68.85
2021-01-19,Pays-Bas,934503,13264,12038,1.42,1.29,97.29
2021-01-19,Nicaragua,6204,168,4225,2.71,68.10,29.19
2021-01-19,Nigéria,113305,1464,91200,1.29,80.49,18.22
2021-01-19,Niger,4225,146,3265,3.46,77.28,19.27
2021-01-19,Nouvelle-Calédonie,44,0,43,0.00,97.73,2.27
2021-01-19,Namibie,30995,296,27858,0.95,89.88,9.17
2021-01-19,Mozambique,28270,253,19132,0.89,67.68,31.43
2021-01-19,Malaisie,165371,619,125288,0.37,75.76,23.86
2021-01-19,Mexique,1668396,142832,1251782,8.56,75.03,16.41
2021-01-19,Malawi,13880,336,6127,2.42,44.14,53.44
2021-01-19,Maldives,14633,49,13615,0.33,93.04,6.62
2021-01-19,Maurice,556,10,518,1.80,93.17,5.04
2021-01-19,Malte,15942,242,12865,1.52,80.70,17.78
2021-01-19,Mauritanie,16147,405,14729,2.51,91.22,6.27
2021-01-19,Martinique,6302,44,98,0.70,1.56,97.75
2021-01-19,Macao,46,0,46,0.00,100.00,0.00
2021-01-19,Mongolie,1568,2,1033,0.13,65.88,33.99
2021-01-19,Birmanie,135243,2986,118657,2.21,87.74,10.06
2021-01-19,Mali,7880,317,5647,4.02,71.66,24.31
2021-01-19,Macédoine,89392,2726,73983,3.05,82.76,14.19
2021-01-19,Îles Marshall,4,0,4,0.00,100.00,0.00
2021-01-19,Madagascar,18301,273,17609,1.49,96.22,2.29
2021-01-19,Saint Martin,1076,12,855,1.12,79.46,19.42
2021-01-19,Montenegro,56228,749,46506,1.33,82.71,15.96
2021-01-19,Moldavie,153506,3282,143766,2.14,93.65,4.21
2021-01-19,Monaco,1240,9,1036,0.73,83.55,15.73
2021-01-19,Maroc,461390,8011,436626,1.74,94.63,3.63
2021-01-19,Libye,110465,1700,88062,1.54,79.72,18.74
2021-01-19,Lettonie,56720,1012,42426,1.78,74.80,23.42
2021-01-19,Luxembourg,48975,560,46051,1.14,94.03,4.83
2021-01-19,Lituanie,168708,2494,104297,1.48,61.82,36.70
2021-01-19,Lesotho,7018,101,1652,1.44,23.54,75.02
2021-01-19,Libéria,1898,84,1707,4.43,89.94,5.64
2021-01-19,Sri Lanka,54419,273,46594,0.50,85.62,13.88
2021-01-19,Liechtenstein,2398,50,2292,2.09,95.58,2.34
2021-01-19,Sainte-Lucie,656,8,336,1.22,51.22,47.56
2021-01-19,Liban,260315,2020,156084,0.78,59.96,39.26
2021-01-19,Laos,41,0,41,0.00,100.00,0.00
2021-01-19,Kazakhstan,218216,2894,190202,1.33,87.16,11.51
2021-01-19,Koweït,158822,950,151936,0.60,95.66,3.74
2021-01-19,Corée du Sud,73518,1300,60180,1.77,81.86,16.37
2021-01-19,Saint-Kitts-et-Nevis,35,0,33,0.00,94.29,5.71
2021-01-19,Comores,1864,51,1144,2.74,61.37,35.89
2021-01-19,Cambodge,448,0,392,0.00,87.50,12.50
2021-01-19,Kirghizistan,83430,1392,79373,1.67,95.14,3.19
2021-01-19,Kenya,99308,1734,82478,1.75,83.05,15.20
2021-01-19,Japon,340989,4680,257563,1.37,75.53,23.09
2021-01-19,Jordanie,316427,4170,301893,1.32,95.41,3.28
2021-01-19,Jamaïque,14419,329,11743,2.28,81.44,16.28
2021-01-19,Italie,2400598,83157,1781917,3.46,74.23,22.31
2021-01-19,Islande,5970,29,5814,0.49,97.39,2.13
2021-01-19,Iran,1342134,56973,1131883,4.24,84.33,11.42
2021-01-19,Iraq,609852,12962,573011,2.13,93.96,3.92
2021-01-19,Inde,10595639,152718,10245741,1.44,96.70,1.86
2021-01-19,Israël,565629,4080,478665,0.72,84.63,14.65
2021-01-19,Irlande,176839,2708,23364,1.53,13.21,85.26
2021-01-19,Indonésie,927380,26590,753948,2.87,81.30,15.83
2021-01-19,Hongrie,353276,11520,231915,3.26,65.65,31.09
2021-01-19,Haïti,10852,240,8956,2.21,82.53,15.26
2021-01-19,Croatie,225648,4684,217880,2.08,96.56,1.37
2021-01-19,Honduras,136068,3391,60200,2.49,44.24,53.27
2021-01-19,Hong-Kong,9720,165,8828,1.70,90.82,7.48
2021-01-19,Guyana,6950,170,6206,2.45,89.29,8.26
2021-01-19,Guinée-Bissau,2510,45,2405,1.79,95.82,2.39
2021-01-19,Guatemala,150277,5313,135594,3.54,90.23,6.24
2021-01-19,Grèce,149462,5518,93764,3.69,62.73,33.57
2021-01-19,Guinée Équatoriale,5365,86,5191,1.60,96.76,1.64
2021-01-19,Guadeloupe,8948,156,2242,1.74,25.06,73.20
2021-01-19,Guinée,14207,81,13422,0.57,94.47,4.96
2021-01-19,Gambie,3938,128,3697,3.25,93.88,2.87
2021-01-19,Gibraltar,3793,47,2914,1.24,76.83,21.94
2021-01-19,Ghana,58431,358,55899,0.61,95.67,3.72
2021-01-19,Guyane Française,15055,76,9995,0.50,66.39,33.11
2021-01-19,Géorgie,249465,2973,235130,1.19,94.25,4.55
2021-01-19,Grenade,139,1,129,0.72,92.81,6.47
2021-01-19,Royaume-Uni,3473011,91596,5449,2.64,0.16,97.21
2021-01-19,Gabon,10019,66,9732,0.66,97.14,2.21
2021-01-19,France,2931070,70963,187481,2.42,6.40,91.18
2021-01-19,Îles Féroé,650,1,644,0.15,99.08,0.77
2021-01-19,Fidji,55,2,53,3.64,96.36,0.00
2021-01-19,Finlande,40722,621,31000,1.52,76.13,22.35
2021-01-19,Éthiopie,131727,2037,116392,1.55,88.36,10.10
2021-01-19,Espagne,2370742,54173,150376,2.29,6.34,91.37
2021-01-19,Érythrée,1877,6,1073,0.32,57.17,42.51
2021-01-19,Égypte,158174,8696,124094,5.50,78.45,16.05
2021-01-19,Estonie,37941,344,27416,0.91,72.26,26.83
2021-01-19,Équateur,232568,14382,199332,6.18,85.71,8.11
2021-01-19,Algérie,104341,2843,70933,2.72,67.98,29.29
2021-01-19,République Dominicaine,196591,2461,145115,1.25,73.82,24.93
2021-01-19,Dominique,110,0,102,0.00,92.73,7.27
2021-01-19,Danemark,190649,1837,172485,0.96,90.47,8.56
2021-01-19,Djibouti,5910,61,5825,1.03,98.56,0.41
2021-01-19,Allemagne,2071615,48997,1757713,2.37,84.85,12.79
2021-01-19,République Tchèque,899503,14646,750376,1.63,83.42,14.95
2021-01-19,Chypre,29294,176,2057,0.60,7.02,92.38
2021-01-19,Cap-vert,13139,120,12319,0.91,93.76,5.33
2021-01-19,Cuba,18773,175,14214,0.93,75.72,23.35
2021-01-19,Costa Rica,186877,2477,144030,1.33,77.07,21.60
2021-01-19,Colombie,1939071,49402,1769935,2.55,91.28,6.17
2021-01-19,Chine,88557,4635,82448,5.23,93.10,1.66
2021-01-19,Cameroun,28010,455,26861,1.62,95.90,2.48
2021-01-19,Chili,677151,17573,634960,2.60,93.77,3.64
2021-01-19,Côte d'Ivoire,25383,142,23643,0.56,93.15,6.30
2021-01-19,Suisse,502191,8859,317600,1.76,63.24,34.99
2021-01-19,Congo (Brazzaville),7709,114,5846,1.48,75.83,22.69
2021-01-19,République Centrafricaine,4973,63,4885,1.27,98.23,0.50
2021-01-19,Rép. Dém. du Congo,21140,640,14812,3.03,70.07,26.91
2021-01-19,Canada,724629,18289,637132,2.52,87.93,9.55
2021-01-19,Belize,11615,283,10866,2.44,93.55,4.01
2021-01-19,Botswana,18630,88,14624,0.47,78.50,21.03
2021-01-19,Bélarus,228716,1601,212074,0.70,92.72,6.58
2021-01-19,Bhoutan,848,1,605,0.12,71.34,28.54
2021-01-19,Bahamas,8068,175,6700,2.17,83.04,14.79
2021-01-19,Brésil,8573864,211491,7618080,2.47,88.85,8.68
2021-01-19,Bolivie,191090,9722,145537,5.09,76.16,18.75
2021-01-19,Brunéi Darussalam,174,3,169,1.72,97.13,1.15
2021-01-19,Saint Barthélemy,251,1,172,0.40,68.53,31.08
2021-01-19,Bénin,3413,46,3245,1.35,95.08,3.57
2021-01-19,Burundi,1253,2,773,0.16,61.69,38.15
2021-01-19,Bahreïn,98260,362,94937,0.37,96.62,3.01
2021-01-19,Bulgarie,212927,8614,170498,4.05,80.07,15.88
2021-01-19,Burkina Faso,9352,105,7448,1.12,79.64,19.24
2021-01-19,Belgique,681250,20554,0,3.02,0.00,96.98
2021-01-19,Bangladesh,529031,7942,473855,1.50,89.57,8.93
2021-01-19,Barbade,1095,7,493,0.64,45.02,54.34
2021-01-19,Bosnie-Herzégovine,118383,4509,88071,3.81,74.39,21.80
2021-01-19,Azerbaïdjan,227696,3032,216720,1.33,95.18,3.49
2021-01-19,Australie,28740,909,25943,3.16,90.27,6.57
2021-01-19,Autriche,396425,7199,373090,1.82,94.11,4.07
2021-01-19,Argentine,1819569,46066,1604373,2.53,88.17,9.30
2021-01-19,Angola,19011,442,16822,2.32,88.49,9.19
2021-01-19,Arménie,164912,3007,153500,1.82,93.08,5.10
2021-01-19,Albanie,68568,1287,41464,1.88,60.47,37.65
2021-01-19,Antigua-et-Barbuda,190,6,157,3.16,82.63,14.21
2021-01-19,Afghanistan,54141,2346,46554,4.33,85.99,9.68
2021-01-19,Émirats Arabes Unis,260223,756,231675,0.29,89.03,10.68
2021-01-19,Andorre,9194,92,8349,1.00,90.81,8.19
2021-01-18,Andorre,9083,91,8154,1.00,89.77,9.23
2021-01-18,Émirats Arabes Unis,256732,751,228364,0.29,88.95,10.76
2021-01-18,Afghanistan,54062,2343,46359,4.33,85.75,9.91
2021-01-18,Antigua-et-Barbuda,189,6,156,3.17,82.54,14.29
2021-01-18,Albanie,67982,1281,40870,1.88,60.12,38.00
2021-01-18,Arménie,164676,2998,153064,1.82,92.95,5.23
2021-01-18,Angola,18926,439,16677,2.32,88.12,9.56
2021-01-18,Argentine,1807428,45832,1594768,2.54,88.23,9.23
2021-01-18,Autriche,394939,7122,370865,1.80,93.90,4.29
2021-01-18,Australie,28731,909,25931,3.16,90.25,6.58
2021-01-18,Azerbaïdjan,227391,3022,215771,1.33,94.89,3.78
2021-01-18,Bosnie-Herzégovine,118083,4486,86505,3.80,73.26,22.94
2021-01-18,Barbade,1095,7,493,0.64,45.02,54.34
2021-01-18,Bangladesh,528329,7922,473173,1.50,89.56,8.94
2021-01-18,Belgique,679771,20472,0,3.01,0.00,96.99
2021-01-18,Burkina Faso,9352,105,7448,1.12,79.64,19.24
2021-01-18,Bulgarie,212383,8565,164255,4.03,77.34,18.63
2021-01-18,Bahreïn,97940,360,94646,0.37,96.64,3.00
2021-01-18,Burundi,1245,2,773,0.16,62.09,37.75
2021-01-18,Bénin,3413,46,3245,1.35,95.08,3.57
2021-01-18,Saint Barthélemy,251,1,172,0.40,68.53,31.08
2021-01-18,Brunéi Darussalam,174,3,169,1.72,97.13,1.15
2021-01-18,Bolivie,188733,9680,144227,5.13,76.42,18.45
2021-01-18,Brésil,8511770,210299,7560460,2.47,88.82,8.71
2021-01-18,Bahamas,8067,175,6680,2.17,82.81,15.02
2021-01-18,Bhoutan,843,1,583,0.12,69.16,30.72
2021-01-18,Bélarus,227360,1591,210779,0.70,92.71,6.59
2021-01-18,Botswana,18630,88,14624,0.47,78.50,21.03
2021-01-18,Belize,11592,282,10782,2.43,93.01,4.55
2021-01-18,Canada,719601,18130,629547,2.52,87.49,9.99
2021-01-18,Rép. Dém. du Congo,21060,634,14810,3.01,70.32,26.67
2021-01-18,République Centrafricaine,4973,63,4885,1.27,98.23,0.50
2021-01-18,Congo (Brazzaville),7709,114,5846,1.48,75.83,22.69
2021-01-18,Suisse,499931,8792,317600,1.76,63.53,34.71
2021-01-18,Côte d'Ivoire,25304,142,23527,0.56,92.98,6.46
2021-01-18,Chili,673750,17547,630818,2.60,93.63,3.77
2021-01-18,Cameroun,28010,455,26861,1.62,95.90,2.48
2021-01-18,Chine,88454,4635,82431,5.24,93.19,1.57
2021-01-18,Colombie,1923132,49004,1754222,2.55,91.22,6.23
2021-01-18,Costa Rica,186016,2458,142245,1.32,76.47,22.21
2021-01-18,Cuba,18443,173,13797,0.94,74.81,24.25
2021-01-18,Cap-vert,13046,120,12287,0.92,94.18,4.90
2021-01-18,Chypre,29130,175,2057,0.60,7.06,92.34
2021-01-18,République Tchèque,891852,14449,732446,1.62,82.13,16.25
2021-01-18,Allemagne,2059382,47263,1713196,2.30,83.19,14.52
2021-01-18,Djibouti,5905,61,5822,1.03,98.59,0.37
2021-01-18,Danemark,189925,1805,170041,0.95,89.53,9.52
2021-01-18,Dominique,110,0,102,0.00,92.73,7.27
2021-01-18,République Dominicaine,194966,2448,144208,1.26,73.97,24.78
2021-01-18,Algérie,104092,2840,70747,2.73,67.97,29.31
2021-01-18,Équateur,231644,14322,199332,6.18,86.05,7.77
2021-01-18,Estonie,37344,333,26669,0.89,71.41,27.69
2021-01-18,Égypte,157275,8638,123491,5.49,78.52,15.99
2021-01-18,Érythrée,1877,6,1073,0.32,57.17,42.51
2021-01-18,Espagne,2336451,53769,150376,2.30,6.44,91.26
2021-01-18,Éthiopie,131546,2033,116335,1.55,88.44,10.02
2021-01-18,Finlande,40505,618,31000,1.53,76.53,21.94
2021-01-18,Fidji,55,2,53,3.64,96.36,0.00
2021-01-18,Îles Féroé,649,1,642,0.15,98.92,0.92
2021-01-18,France,2907731,70309,185865,2.42,6.39,91.19
2021-01-18,Gabon,10019,66,9732,0.66,97.14,2.21
2021-01-18,Royaume-Uni,3439638,89986,5406,2.62,0.16,97.23
2021-01-18,Grenade,139,1,129,0.72,92.81,6.47
2021-01-18,Géorgie,247915,2958,234636,1.19,94.64,4.16
2021-01-18,Guyane Française,14975,75,9995,0.50,66.74,32.75
2021-01-18,Ghana,58065,352,55789,0.61,96.08,3.31
2021-01-18,Gibraltar,3712,45,2840,1.21,76.51,22.28
2021-01-18,Gambie,3933,128,3697,3.25,94.00,2.75
2021-01-18,Guinée,14165,81,13351,0.57,94.25,5.17
2021-01-18,Guadeloupe,8834,156,2242,1.77,25.38,72.85
2021-01-18,Guinée Équatoriale,5365,86,5191,1.60,96.76,1.64
2021-01-18,Grèce,148925,5488,93764,3.69,62.96,33.35
2021-01-18,Guatemala,149146,5278,134824,3.54,90.40,6.06
2021-01-18,Guinée-Bissau,2509,45,2405,1.79,95.85,2.35
2021-01-18,Guyana,6931,170,6173,2.45,89.06,8.48
2021-01-18,Hong-Kong,9664,163,8786,1.69,90.91,7.40
2021-01-18,Honduras,134938,3368,60165,2.50,44.59,52.92
2021-01-18,Croatie,225128,4655,217197,2.07,96.48,1.46
2021-01-18,Haïti,10907,240,8956,2.20,82.11,15.69
2021-01-18,Hongrie,352703,11409,230441,3.23,65.34,31.43
2021-01-18,Indonésie,917015,26282,745935,2.87,81.34,15.79
2021-01-18,Irlande,174843,2616,23364,1.50,13.36,85.14
2021-01-18,Israël,558249,4044,473310,0.72,84.78,14.49
2021-01-18,Inde,10581823,152556,10228753,1.44,96.66,1.89
2021-01-18,Iraq,609029,12953,571198,2.13,93.79,4.08
2021-01-18,Iran,1336217,56886,1125499,4.26,84.23,11.51
2021-01-18,Islande,5970,29,5798,0.49,97.12,2.40
2021-01-18,Italie,2390102,82554,1760489,3.45,73.66,22.89
2021-01-18,Jamaïque,14274,326,11727,2.28,82.16,15.56
2021-01-18,Jordanie,315544,4153,300340,1.32,95.18,3.50
2021-01-18,Japon,335605,4366,252631,1.30,75.28,23.42
2021-01-18,Kenya,99227,1734,82427,1.75,83.07,15.18
2021-01-18,Kirghizistan,83178,1387,79104,1.67,95.10,3.23
2021-01-18,Cambodge,441,0,386,0.00,87.53,12.47
2021-01-18,Comores,1769,49,1113,2.77,62.92,34.31
2021-01-18,Saint-Kitts-et-Nevis,35,0,33,0.00,94.29,5.71
2021-01-18,Corée du Sud,73115,1283,59468,1.75,81.33,16.91
2021-01-18,Koweït,158244,948,151496,0.60,95.74,3.67
2021-01-18,Kazakhstan,216964,2891,189105,1.33,87.16,11.51
2021-01-18,Laos,41,0,41,0.00,100.00,0.00
2021-01-18,Liban,255956,1959,154608,0.77,60.40,38.83
2021-01-18,Sainte-Lucie,621,8,329,1.29,52.98,45.73
2021-01-18,Liechtenstein,2395,50,2281,2.09,95.24,2.67
2021-01-18,Sri Lanka,53750,270,45820,0.50,85.25,14.25
2021-01-18,Libéria,1896,84,1707,4.43,90.03,5.54
2021-01-18,Lesotho,7018,101,1652,1.44,23.54,75.02
2021-01-18,Lituanie,167992,2469,104297,1.47,62.08,36.45
2021-01-18,Luxembourg,48890,557,45997,1.14,94.08,4.78
2021-01-18,Lettonie,55908,983,42426,1.76,75.89,22.36
2021-01-18,Libye,109869,1698,87197,1.55,79.36,19.09
2021-01-18,Maroc,460144,7977,435686,1.73,94.68,3.58
2021-01-18,Monaco,1212,7,1013,0.58,83.58,15.84
2021-01-18,Moldavie,153112,3267,143330,2.13,93.61,4.26
2021-01-18,Montenegro,55803,746,45898,1.34,82.25,16.41
2021-01-18,Saint Martin,1076,12,855,1.12,79.46,19.42
2021-01-18,Madagascar,18301,273,17609,1.49,96.22,2.29
2021-01-18,Îles Marshall,4,0,4,0.00,100.00,0.00
2021-01-18,Macédoine,88992,2715,73777,3.05,82.90,14.05
2021-01-18,Mali,7855,311,5589,3.96,71.15,24.89
2021-01-18,Birmanie,134795,2973,118200,2.21,87.69,10.11
2021-01-18,Mongolie,1536,2,995,0.13,64.78,35.09
2021-01-18,Macao,46,0,46,0.00,100.00,0.00
2021-01-18,Martinique,6227,43,98,0.69,1.57,97.74
2021-01-18,Mauritanie,16081,403,14605,2.51,90.82,6.67
2021-01-18,Malte,15742,241,12717,1.53,80.78,17.69
2021-01-18,Maurice,556,10,518,1.80,93.17,5.04
2021-01-18,Maldives,14582,49,13566,0.34,93.03,6.63
2021-01-18,Malawi,13027,321,6080,2.46,46.67,50.86
2021-01-18,Mexique,1649502,141248,1237321,8.56,75.01,16.43
2021-01-18,Malaisie,161740,605,122344,0.37,75.64,23.98
2021-01-18,Mozambique,27446,249,18880,0.91,68.79,30.30
2021-01-18,Namibie,30753,293,27493,0.95,89.40,9.65
2021-01-18,Nouvelle-Calédonie,44,0,43,0.00,97.73,2.27
2021-01-18,Niger,4204,145,3136,3.45,74.60,21.96
2021-01-18,Nigéria,112004,1449,89939,1.29,80.30,18.41
2021-01-18,Nicaragua,6152,167,4225,2.71,68.68,28.61
2021-01-18,Pays-Bas,930147,13157,11983,1.41,1.29,97.30
2021-01-18,Norvège,59034,521,17998,0.88,30.49,68.63
2021-01-18,Népal,267644,1965,261818,0.73,97.82,1.44
2021-01-18,Nouvelle-Zélande,2262,25,2152,1.11,95.14,3.76
2021-01-18,Oman,132011,1514,124213,1.15,94.09,4.76
2021-01-18,Panama,299361,4828,241128,1.61,80.55,17.84
2021-01-18,Pérou,1060567,38770,984726,3.66,92.85,3.50
2021-01-18,Polynésie Française,17697,127,4842,0.72,27.36,71.92
2021-01-18,Papouasie-Nouvelle-Guinée,834,9,755,1.08,90.53,8.39
2021-01-18,Philippines,502736,9909,465988,1.97,92.69,5.34
2021-01-18,Pakistan,523011,11055,476471,2.11,91.10,6.78
2021-01-18,Pologne,1438914,33407,1187719,2.32,82.54,15.14
2021-01-18,Palestine,152555,1726,140075,1.13,91.82,7.05
2021-01-18,Portugal,556503,9028,411589,1.62,73.96,24.42
2021-01-18,Paraguay,122588,2518,98465,2.05,80.32,17.62
2021-01-18,Qatar,147504,248,144015,0.17,97.63,2.20
2021-01-18,Réunion,9443,45,9053,0.48,95.87,3.65
2021-01-18,Roumanie,695153,17271,625449,2.48,89.97,7.54
2021-01-18,Serbie,374111,3771,0,1.01,0.00,98.99
2021-01-18,Russie,3552888,65059,2947479,1.83,82.96,15.21
2021-01-18,Rwanda,11259,146,7412,1.30,65.83,32.87
2021-01-18,Arabie Saoudite,365099,6329,356848,1.73,97.74,0.53
2021-01-18,Îles Salomon,17,0,10,0.00,58.82,41.18
2021-01-18,Seychelles,746,2,563,0.27,75.47,24.26
2021-01-18,Soudan,26279,1603,15688,6.10,59.70,34.20
2021-01-18,Suède,523486,10323,0,1.97,0.00,98.03
2021-01-18,Singapour,59127,29,58868,0.05,99.56,0.39
2021-01-18,Slovaquie,224385,3526,171092,1.57,76.25,22.18
2021-01-18,Slovénie,149424,3206,122745,2.15,82.15,15.71
2021-01-18,Sierra Leone,3014,77,2107,2.55,69.91,27.54
2021-01-18,Saint-Marin,2787,65,2464,2.33,88.41,9.26
2021-01-18,Sénégal,23224,526,19414,2.26,83.59,14.14
2021-01-18,Somalie,4744,130,3666,2.74,77.28,19.98
2021-01-18,Suriname,7624,145,6834,1.90,89.64,8.46
2021-01-18,Soudan du sud,3703,63,3181,1.70,85.90,12.40
2021-01-18,Sao Tomé-et-Principe,1142,17,993,1.49,86.95,11.56
2021-01-18,El Salvador,51437,1498,45223,2.91,87.92,9.17
2021-01-18,Syrie,13132,841,6624,6.40,50.44,43.15
2021-01-18,Eswatini,13187,384,8374,2.91,63.50,33.59
2021-01-18,Tchad,2919,113,2148,3.87,73.59,22.54
2021-01-18,Togo,4324,74,3785,1.71,87.53,10.75
2021-01-18,Thaïlande,12594,70,9356,0.56,74.29,25.15
2021-01-18,Tadjikistan,13308,90,13218,0.68,99.32,0.00
2021-01-18,Timor-Leste,52,0,49,0.00,94.23,5.77
2021-01-18,Tunisie,181885,5750,131019,3.16,72.03,24.80
2021-01-18,Turquie,2392963,24161,2270769,1.01,94.89,4.10
2021-01-18,Trinité-et-Tobago,7399,132,6938,1.78,93.77,4.45
2021-01-18,Taïwan,862,7,756,0.81,87.70,11.48
2021-01-18,Tanzanie,509,21,183,4.13,35.95,59.92
2021-01-18,Ukraine,1201894,21847,902481,1.82,75.09,23.09
2021-01-18,Ouganda,38085,304,13083,0.80,34.35,64.85
2021-01-18,États-Unis,24078772,399003,0,1.66,0.00,98.34
2021-01-18,Uruguay,32863,319,24618,0.97,74.91,24.12
2021-01-18,Ouzbékistan,78036,619,76538,0.79,98.08,1.13
2021-01-18,Vatican,27,0,15,0.00,55.56,44.44
2021-01-18,St-Vincent / Grenadines,494,1,118,0.20,23.89,75.91
2021-01-18,Venezuela,120444,1112,113328,0.92,94.09,4.98
2021-01-18,Viet Nam,1539,35,1402,2.27,91.10,6.63
2021-01-18,Vanuatu,1,0,1,0.00,100.00,0.00
2021-01-18,Samoa,2,0,2,0.00,100.00,0.00
2021-01-18,Kosovo,55851,1410,49271,2.52,88.22,9.26
2021-01-18,Yémen,2113,612,1421,28.96,67.25,3.79
2021-01-18,Mayotte,6611,58,2964,0.88,44.83,54.29
2021-01-18,Afrique du Sud,1346936,37449,1117452,2.78,82.96,14.26
2021-01-18,Zambie,38207,559,27327,1.46,71.52,27.01
2021-01-18,Zimbabwe,27892,773,17372,2.77,62.28,34.95
2021-01-18,Autres,721,15,706,2.08,97.92,0.00
2021-01-17,Autres,721,15,706,2.08,97.92,0.00
2021-01-17,Zimbabwe,27203,713,16512,2.62,60.70,36.68
2021-01-17,Zambie,37605,546,26159,1.45,69.56,28.99
2021-01-17,Afrique du Sud,1337926,37105,1098441,2.77,82.10,15.13
2021-01-17,Mayotte,6611,58,2964,0.88,44.83,54.29
2021-01-17,Yémen,2112,612,1419,28.98,67.19,3.84
2021-01-17,Kosovo,55851,1410,49271,2.52,88.22,9.26
2021-01-17,Samoa,2,0,2,0.00,100.00,0.00
2021-01-17,Vanuatu,1,0,1,0.00,100.00,0.00
2021-01-17,Viet Nam,1537,35,1380,2.28,89.79,7.94
2021-01-17,Venezuela,119803,1106,113002,0.92,94.32,4.75
2021-01-17,St-Vincent / Grenadines,478,1,111,0.21,23.22,76.57
2021-01-17,Vatican,27,0,15,0.00,55.56,44.44
2021-01-17,Ouzbékistan,77968,619,76436,0.79,98.04,1.17
2021-01-17,Uruguay,32378,311,23910,0.96,73.85,25.19
2021-01-17,États-Unis,23936773,397600,0,1.66,0.00,98.34
2021-01-17,Ouganda,38085,304,13083,0.80,34.35,64.85
2021-01-17,Ukraine,1198512,21767,897136,1.82,74.85,23.33
2021-01-17,Tanzanie,509,21,183,4.13,35.95,59.92
2021-01-17,Taïwan,855,7,755,0.82,88.30,10.88
2021-01-17,Trinité-et-Tobago,7393,132,6930,1.79,93.74,4.48
2021-01-17,Turquie,2387101,23997,2262864,1.01,94.80,4.20
2021-01-17,Tunisie,180090,5692,128992,3.16,71.63,25.21
2021-01-17,Timor-Leste,52,0,49,0.00,94.23,5.77
